id,insert_time,create_time,last_modify_time,personid,courseid,clazzid,type,fid
"","	2022-06-01 00:00:08	","	2022-06-01 00:00:08	","	2022-06-01 00:00:08	","	147389905	","	223018597	","	51541158	","	workanswer	",1727
"","	2022-06-01 00:00:08	","	2022-06-01 00:00:08	","	2022-06-01 00:00:08	","	147389905	","	223018597	","	51541158	","	workscore	",1727
"","	2022-06-01 00:00:37	","	2022-06-01 00:00:37	","	2022-06-01 00:00:37	","	147389591	","	224922228	","	55853631	","	accesslog	",1727
"","	2022-06-01 00:00:50	","	2022-06-01 00:00:50	","	2022-06-01 00:00:50	","	147385556	","	223018597	","	51541158	","	accesslog	",1727
"","	2022-06-01 00:04:11	","	2022-06-01 00:04:11	","	2022-06-01 00:04:11	","	147389591	","	224922228	","	55853631	","	accesslog	",1727
"","	2022-06-01 00:05:10	","	2022-06-01 00:05:10	","	2022-06-01 00:05:10	","	147389591	","	224922228	","	55853631	","	accesslog	",1727
"","	2022-06-01 00:12:54	","	2022-06-01 00:12:54	","	2022-06-01 00:12:54	","	147389057	","	223018597	","	51541158	","	accesslog	",1727
"","	2022-06-01 00:22:51	","	2022-06-01 00:22:51	","	2022-06-01 00:22:51	","	147388223	","	223018597	","	51541158	","	accesslog	",1727
"","	2022-06-01 00:29:41	","	2022-06-01 00:29:41	","	2022-06-01 00:29:41	","	147392418	","	223018597	","	51541158	","	accesslog	",1727
"","	2022-06-01 00:34:50	","	2022-06-01 00:34:50	","	2022-06-01 00:34:50	","	147392830	","	223018597	","	51541153	","	accesslog	",1727
"","	2022-06-01 00:36:26	","	2022-06-01 00:36:26	","	2022-06-01 00:36:26	","	147389057	","	223018597	","	51541158	","	accesslog	",1727
"","	2022-06-01 00:37:05	","	2022-06-01 00:37:05	","	2022-06-01 00:37:05	","	147393619	","	224922228	","	55853631	","	accesslog	",1727
"","	2022-06-01 00:50:18	","	2022-06-01 00:50:18	","	2022-06-01 00:50:18	","	147381951	","	223018597	","	51541158	","	accesslog	",1727
"","	2022-06-01 00:56:16	","	2022-06-01 00:56:16	","	2022-06-01 00:56:16	","	147392830	","	223018597	","	51541153	","	accesslog	",1727
"","	2022-06-01 01:04:31	","	2022-06-01 01:04:31	","	2022-06-01 01:04:31	","	147380022	","	223018597	","	51541158	","	workanswer	",1727
"","	2022-06-01 01:04:31	","	2022-06-01 01:04:31	","	2022-06-01 01:04:31	","	147380022	","	223018597	","	51541158	","	workscore	",1727
"","	2022-06-01 01:05:11	","	2022-06-01 01:05:11	","	2022-06-01 01:05:11	","	147387722	","	223018597	","	51541158	","	accesslog	",1727
"","	2022-06-01 01:09:56	","	2022-06-01 01:09:56	","	2022-06-01 01:09:56	","	197689166	","	222652756	","	50621835	","	accesslog	",1727
"","	2022-06-01 01:18:37	","	2022-06-01 01:18:37	","	2022-06-01 01:18:37	","	147392757	","	223018597	","	51541158	","	workanswer	",1727
"","	2022-06-01 01:18:37	","	2022-06-01 01:18:37	","	2022-06-01 01:18:37	","	147392757	","	223018597	","	51541158	","	workscore	",1727
"","	2022-06-01 01:19:58	","	2022-06-01 01:19:58	","	2022-06-01 01:19:58	","	147380785	","	223018597	","	51541158	","	accesslog	",1727
"","	2022-06-01 01:32:50	","	2022-06-01 01:32:50	","	2022-06-01 01:32:50	","	147381348	","	223018597	","	51541158	","	accesslog	",1727
"","	2022-06-01 01:38:38	","	2022-06-01 01:38:38	","	2022-06-01 01:38:38	","	147381951	","	223018597	","	51541158	","	workanswer	",1727
"","	2022-06-01 01:38:38	","	2022-06-01 01:38:38	","	2022-06-01 01:38:38	","	147381951	","	223018597	","	51541158	","	workscore	",1727
"","	2022-06-01 01:50:12	","	2022-06-01 01:50:12	","	2022-06-01 01:50:12	","	147386210	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-06-01 01:51:01	","	2022-06-01 01:51:01	","	2022-06-01 01:51:01	","	147386210	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-06-01 06:04:44	","	2022-06-01 06:04:44	","	2022-06-01 06:04:44	","	147386185	","	223018597	","	51541158	","	accesslog	",1727
"","	2022-06-01 08:12:33	","	2022-06-01 08:12:33	","	2022-06-01 08:12:33	","	147385799	","	223018597	","	51541153	","	accesslog	",1727
"","	2022-06-01 08:25:06	","	2022-06-01 08:25:06	","	2022-06-01 08:25:06	","	147392727	","	223018597	","	51541153	","	accesslog	",1727
"","	2022-06-01 08:27:09	","	2022-06-01 08:27:09	","	2022-06-01 08:27:09	","	153867052	","	223018597	","	51541153	","	workanswer	",1727
"","	2022-06-01 08:27:09	","	2022-06-01 08:27:09	","	2022-06-01 08:27:09	","	153867052	","	223018597	","	51541153	","	workscore	",1727
"","	2022-06-01 08:28:35	","	2022-06-01 08:28:35	","	2022-06-01 08:28:35	","	153867052	","	223018597	","	51541153	","	workanswer	",1727
"","	2022-06-01 08:28:35	","	2022-06-01 08:28:35	","	2022-06-01 08:28:35	","	153867052	","	223018597	","	51541153	","	workscore	",1727
"","	2022-06-01 08:29:15	","	2022-06-01 08:29:15	","	2022-06-01 08:29:15	","	111944914	","	223018597	","	51541153	","	accesslog	",1727
"","	2022-06-01 08:29:59	","	2022-06-01 08:29:59	","	2022-06-01 08:29:59	","	147392727	","	223018597	","	51541153	","	accesslog	",1727
"","	2022-06-01 08:30:12	","	2022-06-01 08:30:12	","	2022-06-01 08:30:12	","	153867052	","	223018597	","	51541153	","	workanswer	",1727
"","	2022-06-01 08:30:12	","	2022-06-01 08:30:12	","	2022-06-01 08:30:12	","	153867052	","	223018597	","	51541153	","	workscore	",1727
"","	2022-06-01 08:32:07	","	2022-06-01 08:32:07	","	2022-06-01 08:32:07	","	153867052	","	223018597	","	51541153	","	accesslog	",1727
"","	2022-06-01 08:33:46	","	2022-06-01 08:33:46	","	2022-06-01 08:33:46	","	147377238	","	223018597	","	51541153	","	accesslog	",1727
"","	2022-06-01 08:47:49	","	2022-06-01 08:47:49	","	2022-06-01 08:47:49	","	197686998	","	222652756	","	50621835	","	accesslog	",1727
"","	2022-06-01 08:47:57	","	2022-06-01 08:47:57	","	2022-06-01 08:47:57	","	147393768	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-06-01 09:07:35	","	2022-06-01 09:07:35	","	2022-06-01 09:07:35	","	147393768	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-06-01 09:10:36	","	2022-06-01 09:10:36	","	2022-06-01 09:10:36	","	147378696	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-06-01 09:25:54	","	2022-06-01 09:25:54	","	2022-06-01 09:25:54	","	147379212	","	224922228	","	55853631	","	workanswer	",1727
"","	2022-06-01 09:25:54	","	2022-06-01 09:25:54	","	2022-06-01 09:25:54	","	147379212	","	224922228	","	55853631	","	workscore	",1727
"","	2022-06-01 09:26:32	","	2022-06-01 09:26:32	","	2022-06-01 09:26:32	","	147378696	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-06-01 09:28:06	","	2022-06-01 09:28:06	","	2022-06-01 09:28:06	","	147386563	","	223018597	","	51541153	","	accesslog	",1727
"","	2022-06-01 09:28:15	","	2022-06-01 09:28:15	","	2022-06-01 09:28:15	","	147378696	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-06-01 09:28:51	","	2022-06-01 09:28:51	","	2022-06-01 09:28:51	","	147378696	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-06-01 09:31:06	","	2022-06-01 09:31:06	","	2022-06-01 09:31:06	","	147378696	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-06-01 09:31:51	","	2022-06-01 09:31:51	","	2022-06-01 09:31:51	","	147378696	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-06-01 09:32:29	","	2022-06-01 09:32:29	","	2022-06-01 09:32:29	","	147378696	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-06-01 09:34:23	","	2022-06-01 09:34:23	","	2022-06-01 09:34:23	","	147392587	","	224922228	","	55853631	","	accesslog	",1727
"","	2022-06-01 09:35:55	","	2022-06-01 09:35:55	","	2022-06-01 09:35:55	","	147377971	","	225348006	","	56697614	","	accesslog	",1727
"","	2022-06-01 09:38:43	","	2022-06-01 09:38:43	","	2022-06-01 09:38:43	","	147392262	","	223018597	","	51541158	","	accesslog	",1727
"","	2022-06-01 09:40:00	","	2022-06-01 09:40:00	","	2022-06-01 09:40:00	","	147392262	","	223018597	","	51541158	","	accesslog	",1727
"","	2022-06-01 09:47:00	","	2022-06-01 09:47:00	","	2022-06-01 09:47:00	","	147378696	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-06-01 09:53:28	","	2022-06-01 09:53:28	","	2022-06-01 09:53:28	","	153867395	","	223018597	","	51541158	","	accesslog	",1727
