id,insert_time,create_time,last_modify_time,personid,courseid,clazzid,type,fid
"","	2022-04-01 00:04:59	","	2022-04-01 00:04:59	","	2022-04-01 00:04:59	","	111946863	","	222602451	","	50522391	","	accesslog	",1727
"","	2022-04-01 00:05:44	","	2022-04-01 00:05:44	","	2022-04-01 00:05:44	","	147383116	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-04-01 00:12:42	","	2022-04-01 00:12:42	","	2022-04-01 00:12:42	","	147390631	","	222865147	","	51154010	","	accesslog	",1727
"","	2022-04-01 00:57:12	","	2022-04-01 00:57:12	","	2022-04-01 00:57:12	","	147386142	","	222865147	","	51154010	","	accesslog	",1727
"","	2022-04-01 07:18:04	","	2022-04-01 07:18:04	","	2022-04-01 07:18:04	","	111947004	","	222602451	","	50522391	","	accesslog	",1727
"","	2022-04-01 08:12:30	","	2022-04-01 08:12:30	","	2022-04-01 08:12:30	","	147393302	","	222760546	","	50868133	","	accesslog	",1727
"","	2022-04-01 08:42:33	","	2022-04-01 08:42:33	","	2022-04-01 08:42:33	","	147387514	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-04-01 08:55:12	","	2022-04-01 08:55:12	","	2022-04-01 08:55:12	","	111943800	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-04-01 09:05:18	","	2022-04-01 09:05:18	","	2022-04-01 09:05:18	","	111943800	","	222820410	","	51027597	","	jobfinish	",1727
"","	2022-04-01 09:08:51	","	2022-04-01 09:08:51	","	2022-04-01 09:08:51	","	190774754	","	222820426	","	51027640	","	accesslog	",1727
"","	2022-04-01 09:11:03	","	2022-04-01 09:11:03	","	2022-04-01 09:11:03	","	111946863	","	222602451	","	50522391	","	accesslog	",1727
"","	2022-04-01 09:11:18	","	2022-04-01 09:11:18	","	2022-04-01 09:11:18	","	111943800	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-04-01 09:31:12	","	2022-04-01 09:31:12	","	2022-04-01 09:31:12	","	197265922	","	222820426	","	51027640	","	accesslog	",1727
"","	2022-04-01 09:33:56	","	2022-04-01 09:33:56	","	2022-04-01 09:33:56	","	111946863	","	222602451	","	50522391	","	accesslog	",1727
"","	2022-04-01 09:37:15	","	2022-04-01 09:37:15	","	2022-04-01 09:37:15	","	67849590	","	222820426	","	51027640	","	accesslog	",1727
"","	2022-04-01 09:39:04	","	2022-04-01 09:39:04	","	2022-04-01 09:39:04	","	197688477	","	222652756	","	50621835	","	accesslog	",1727
"","	2022-04-01 09:45:33	","	2022-04-01 09:45:33	","	2022-04-01 09:45:33	","	111946538	","	222820410	","	51027597	","	accesslog	",1727
"","	2022-04-01 09:49:16	","	2022-04-01 09:49:16	","	2022-04-01 09:49:16	","	197265922	","	222820426	","	51027640	","	workanswer	",1727
"","	2022-04-01 09:49:16	","	2022-04-01 09:49:16	","	2022-04-01 09:49:16	","	197265922	","	222820426	","	51027640	","	workscore	",1727
"","	2022-04-01 09:49:31	","	2022-04-01 09:49:31	","	2022-04-01 09:49:31	","	98301060	","	222602451	","	50522391	","	accesslog	",1727
"","	2022-04-01 09:50:19	","	2022-04-01 09:50:19	","	2022-04-01 09:50:19	","	98301060	","	222602451	","	50522391	","	accesslog	",1727
"","	2022-04-01 09:53:32	","	2022-04-01 09:53:32	","	2022-04-01 09:53:32	","	111944823	","	222808035	","	50991373	","	accesslog	",1727
"","	2022-04-01 09:57:34	","	2022-04-01 09:57:34	","	2022-04-01 09:57:34	","	111943800	","	222820410	","	51027597	","	jobfinish	",1727
"","	2022-04-01 10:00:21	","	2022-04-01 10:00:21	","	2022-04-01 10:00:21	","	147388448	","	222820410	","	51027597	","	workscore	",1727
"","	2022-04-01 10:00:21	","	2022-04-01 10:00:21	","	2022-04-01 10:00:21	","	147393446	","	222820410	","	51027597	","	piyueworkevaluation	",1727
"","	2022-04-01 10:00:28	","	2022-04-01 10:00:28	","	2022-04-01 10:00:28	","	147393446	","	222820410	","	51027597	","	piyueworkevaluation	",1727
"","	2022-04-01 10:00:28	","	2022-04-01 10:00:28	","	2022-04-01 10:00:28	","	111948679	","	222820410	","	51027597	","	workscore	",1727
"","	2022-04-01 10:00:35	","	2022-04-01 10:00:35	","	2022-04-01 10:00:35	","	147386174	","	222820410	","	51027597	","	workscore	",1727
